input,target
Hiç uçan bir fil gördünüz mü?,Hiç filin uçtuğunu gördün mü?
Sen Amerika'dan mısın?,Sen bir Amerikalı mısın?
Tom burada ne yapıyor?,Tom burada ne yaptı?
Ev ödevini zaten bitirdin mi?,Henüz ev ödevini yapmayı bitirdin mi?
Ne zaman başlatırız?,İlk ne yapacağız?
Tom iyi mi?,Tom kibar bir adam mı?
Ben şimdi yemeğe başlayabilir miyim?,Bunu yiyebilirmiyim?
Bu akşam nerede yiyeceğiz?,Bu akşam nerede yemeliyiz?
Ben şimdi bir ara verebilir miyim?,Şimdi bir mola alabilir miyim?
Burada sigara içilebiliyor mu?,Sigara içsem rahatsız olur musunuz?
Burada olmamız gerekiyor mu?,Burada olmalı mıyız?
Bana bir fincan kahve verir misin?,Çay alır mısınız?
Biz nerede başlayacağız?,Ne zaman ulaşırsın?
Nerede başlayacağız?,O ne zaman eve dönecek?
Bana senin bir fotoğrafını gönderebilir misin?,Bana bir fotoğraf gönderebilir misiniz?
Onu okuyabilir misin?,Bunu okuyabilir misin?
Bir yürüyüşe ne dersiniz?,Yürüyüş gitmek ister misiniz?
Onlar portakal sever mi?,"O, portakalları sever mi?"
Sana aptal gibi mi görünüyorum?,Senin için idiot gibi mi görünüyorum?
Neden bir kitap okumuyorsunuz?,Neden bir kitap okumuyorsun?
Hangisi iyi?,Hangisi en iyi?
Biri seni gördü mü?,Biri seni orada gördü mü?
Yarın randevum için ne giymem gerektiğini düşünüyorsun?,Yarın randevuma gitmek için hangi elbiseleri giymem gerektiğini düşünüyorsun?
Otobüs mü bekliyorsun?,Otobüs mü bekliyorsunuz?
Çantandaki ne?,Cebindeki nedir?
Bir şey unutmuyor musunuz?,Herhangi bir şeyi unutuyor muyum?
"Hey, ne dolaplar çeviriyorsun?","Hey, ne yapıyorsun?"
Neden bunu düşünmelisin?,O fikri nasıl ortaya attın?
Burada herhangi biri hasta hissediyor mu?,Burada hasta hisseden biri var mı?
Bugün ne gün?,Tarih nedir?
Onu yarına kadar erteleyemez misin?,Yarına erteleyemez misin?
Ne zaman eve gidecek?,Biz nerede başlayacağız?
Sizi çok güldürecek ne oldu?,Niçin gülümsüyorsun?
Ne zaman işten ayrılırsın?,İşten kaçta çıkıyorsun?
Hepiniz evde misiniz?,Burada mısın?
Burada sigara içilebilir mi?,Benim burada sigara içmem sizi rahatsız ediyor mu?
Onunla buluştun mu?,Onunla daha önce karşılaştın mı?
Yemek yedin mi?,Yedin mi zaten?
Ona neden inanmam gerekir?,Neden ona inanmalıyım?
Evren sonsuz mudur?,Evren sınırlı mıdır?
Bunun adil olduğunu düşünüyor musun?,Bunu adil buluyor musunuz?
Sana biraz çay alabilir miyim?,Bir fincan kahve ister misiniz?
Farkı görüyor musun?,Farkı anlıyor musun?
Bu son fotoğraf mı?,"O, son zamanlarda çekilmiş bir fotoğraf mıdır?"
Daha önce onu denedin mi?,Bunu daha önce denedin mi?
Biraz kahve almazmısın?,Çay alır mısınız?
Ne tür müziklerden hoşlanıyorsun?,Ne tür müzik dinlemekten hoşlanırsın?
Yolculuğun nasıldı?,Gezi nasıldı?
Ne hakkında konuşuyordum?,"Peki, biz ne hakkında konuşuyorduk?"
Ehliyetin yanında mı?,Şoför ehliyetiniz var mı?
Onu o kadar biliyor musunuz?,Onu iyi biliyor musunuz?
Tamamen mi delirdin?,Tamamen delirdin mi?
Bu acele niye?,Neden çok yoğunsun?
Tom okula nasıl gider?,Tom okula nasıl gidiyor?
Bunu nasıl yaparım?,Ben bunu nasıl yaparım?
Neden karına biraz teşekkür etmiyorsun?,Karına neden hiç teşekkür etmiyorsun?
Kapıyı açar mısınız?,Kapıyı açar mısın?
Ben profesörle konuşabilir miyim?,Ben doktorla konuşabilir miyim?
Sen de Fransızca konuşabiliyor musun?,Fransızca da konuşuyor musun?
Bilmiyor musun?,Onu tanımıyor musun?
Ben bilgisayarı kullanabilir miyim?,Bilgisayarını kullanabilir miyim?
En sevdiğin televizyon gösterisi nedir?,En sevdiğiniz TV gösterisi nedir?
Onu görmek istiyor musun?,"O, buna bakmak istiyor mu?"
Saat kaçta geliyorsun?,Nerede başlayacağız?
Tuvaletiniz nerede?,Tuvalet nerede?
Çok ağlıyor musun?,Sık sık ağlar mısın?
"Menüyü görebilir miyim, lütfen?",Menüye biraz bakabilir miyim?
Saat kaçta geliyorsun?,Ne zaman gideriz?
Her gün koşar mısın?,Her gün koşacak mısın?
Boş zamanlarında ne yapmayı seversin?,Boş zamanında ne yapmaktan hoşlanırsın?
Ne iyidir?,Hangi biri daha iyi?
Acele nedir?,Ne bu acele?
Onların kaç kız kardeşi var?,Kaç kardeşin var?
Parayı çalanın Tom olduğunu nasıl anladınız?,Parayı zimmetine geçiren kişinin Tom olduğunu nasıl anladın?
Sen yüzebiliyor musun?,Nasıl yüzeceğini biliyor musun?
Gizemi çözdün mü?,Bulmacayı çözdün mü?
Ne zaman başlarız?,Ne zaman ayrılacağız?
Neden her zaman geç kalıyorsun?,Neden sürekli geç kalıyorsun?
Bu hoş değil mi?,O güzel değil mi?
Seni eve götürmemi ister misin?,Sizi eve götürmemi ister misiniz?
Diktatör olduğumu mu düşünüyorsun?,Sence ben diktatör müyüm?
Akşam yemeği yedin mi?,Yemek yemeyi bitirdin mi?
Ne zaman varırsın?,Biz ne zaman başlarız?
Daha ucuz bir şeyin var mı?,Daha ucuz olan birine sahip misin?
Merhaba? Orada biri var mı?,"Merhaba, kimse var mı?"
Bunu bize verecek misin?,Bunu bize verir misin?
Ağlamanın sebebi neydi?,Seni ağlatan nedir?
Bu ne zaman varacak?,Ne zaman gidiyoruz?
Senin fincanın hangisi?,Hangisi senin fincanın?
Bu kızın adı ne?,Bu kızın ismi ne?
Biz nerede başlayacağız?,Ne zaman gideceksin?
Biraz kahve alır mısın?,Bir bardak çay ister misin?
Biz nasıl başlarız?,Biz nerede başlayacağız?
Yarın için her şeyi hazırladın mı?,Yarın için hazırlıklarını tamamladın mı?
Tom ne pişiriyor?,Tom ile anlaşma nedir?
Siz kız kardeş misiniz?,Erkek kardeş misiniz?
Sesi kısabilir misiniz?,Hepiniz daha az gürültülü olabilir misiniz?
Çantandaki ne?,Çantanızda ne var?
Mozart'ın müziğini beğeniyor musun?,Mozart'ın müziğini sever misiniz?
Ne ağlıyorsun?,Niçin ağladın?
"Erken başlayalım, değil mi?","Haydi erken gidelim, tamam mı?"
En sevdiğin fast food restoranı hangisi?,En sevdiğiniz fast-food restoranınız hangisidir?
Pasaportun yanında mı?,Bir pasaportun var mı?
Eve ne zaman döneceksin?,Ne zaman eve gidiyorsun?
Bunu kanıtlayabilir misin?,Bunu ispatlayabilir misin?
Latince anlıyor musun?,Latince biliyor musun?
Bir fincan kahve alabilir miyim?,"Bir kahve alabilir miyim, lütfen?"
Neden hayır diyorsun?,Neden başını sağa sola sallıyorsun?
Bu okulda en ilginç öğretmenin kim olduğunu düşünüyorsunuz?,Sizce bu okulda en ilginç öğretmen hangisidir?
Bunun neden komik olduğunu düşünüyorsun?,Sence bu neden komik?
Satranç oynar mısın?,Satrancı nasıl oynayacağını biliyor musun?
Yeni kelimeler ezberlemek için iyi bir yol biliyor musunuz?,Yeni kelimeler öğrenmek için iyi bir yol biliyor musun?
Ne zaman gidiyorsun?,Ne zaman çıkacaksın?
Hakkında konuşmak istediğin nedir?,Kiminle konuşmak istersin?
Ne yazıyorsun?,Şimdi ne yazıyorsun?
Niçin gelmedin?,Neden gelmediniz?
Biraz kahveye ne dersin?,Bir fincan daha çay içmek ister misiniz?
Niçin bana inanmıyorsun?,Neden benden şüpheleniyorsun?
Sessiz olabilir misiniz lütfen?,Sessiz olur musun?
En iyisi hangisi?,En iyi olanı hangisi?
Se ne zaman gidiyorsun?,Biz nerede başlayacağız?
Ne önemi var ki?,O nasıl önemli?
O gitar çalabilir mi?,Gitar çalabilir misin?
Bir fincan çay isteyen biri var mı?,Bir bardak çaya ne dersiniz?
Tom'un nesi var?,Tom'a ne oluyor?
Onu bundan önce gördün mü?,Zaten onunla tanışıyormuydun?
Nereden başlıyoruz?,Ne zaman gideriz?
Otobüs ne zaman hareket ediyor?,Otobüs ne zaman kalkıyor?
Kutuda ne var?,O kutudaki nedir?
Hangisi ile başlayayım?,Ne zaman geri döndü?
Senin için tuhaf görünmüyor mu?,Bunun tuhaf olduğunu düşünmüyor musun?
"Radyoyu kapatabilir misin, lütfen?",Lütfen benim için radyoyu kapatır mısın?
O kelime ne demek?,Bu kelime ne demektir?
Sen hiç manuel araba sürdün mü?,Hiç manuel vitesle araba sürdün mü?
Kim sıcak bir çikolata ister?,Kim biraz sıcak çikolata ister?
Niçin yalan söylerdi?,Neden yalan söylerdim?
O garip değil mi?,"Tuhaf, değil mi?"
Elinden gelen bu mu?,Yapabileceğin en iyi bu mu?
Neden aç değilsiniz?,Neden aç değilsin?
Onunla daha önce tanıştınız mı?,Onunla daha önce tanıştın mı?
Biraz daha bira alır mısınız?,Bir bira daha içmek ister misin?
Hafta sonun için planların nedir?,Hafta sonunu nasıl geçireceksin?
Nasıl yüzeceğini biliyor musun?,"Yüzebilirsin, değil mi?"
Haftanın hangi günü?,Bugün elimizde neler var?
Eve ne zaman geleceksin?,Ne zaman ayrılıyorsunuz?
Hangi çocuk Masao'dur?,Hangi çocuk Masao?
Ruhlara inanıyor musun?,Hayaletlerin var olduğuna inanıyor musunuz?
Eve ne zaman geliyorsun?,Ne zaman ayrılıyorsun?
Beni polisten saklar mısın?,Beni polislerden saklayabilir misiniz?
Aklavcın kimdir?,Senin avukatın kim?
Ne zaman geri dönüyorsun?,Ne zaman yolculuğa çıkıyorsun?
Nagashimaslara akraba mısın?,Nagashima ailesinden misin?
Ne zaman başlar?,Ne zaman eve gidecek?
En sevdiğin sayı hangisidir?,En sevdiğin sayın nedir?
Sen kimsin de benimle böyle konuşuyorsun?,Sen kimsin ki benimle böyle konuşuyorsun?
Popüler hasat şenliği bu yıl pazartesiye mi rastlıyor?,Popüler hasat şenliği bu yıl pazartesi günü mü?
Her gün buraya geliyor musun?,Buraya her gün gelir misin?
Bize söylemediğin şey nedir?,Bizden ne saklıyorsun?
Tom'la akraba mısınız?,Tom akraban mı?
Boston'da ne kadar kalacaksın?,Boston'da ne kadar kalacaksınız?
Ne kadar süredir sahibiz?,Ne kadar zamanımız var?
Kahve içiyor musunuz?,Bir fincan çay isteyen biri var mı?
Yalan söylediğinizi kabul ediyorsunuz öyle mi?,Yalan söylediğini kabul ediyorsun öyle mi?
Öğle yemeğinizi henüz yediniz mi?,Yemek yedin mi?
Ben ne duyuyorum?,Ne duydum?
Tom onu nasıl yapıyor?,Neden Tom onu yapıyor?
Tom neden bekliyor?,Tom niçin bekliyor?
Tom'un hikâyesi ne?,Tom'un olayı neymiş?
Hangi kitabı okuyorsun?,Hangi kitabı okuyorsunuz?
"Nasılsın, Tom?","Şimdi sorun ne, Tom?"
Akşam yemeğini ne zaman alırsın?,Akşam yemeği ne zaman?
Onu gerçekten istiyor musunuz?,Gerçekten istediğin bu mu?
Şu anda yorgun musun?,Şimdi yorgun musun?
Elmaları sever misin?,Elmaları sever misiniz?
Nereden başlıyoruz?,Eve ne zaman geri döneceksin?
Ne zaman kahvaltı edersin?,Saat kaçta kahvaltı ediyorsun?
Bu koltuk dolu mu?,"Affedersiniz, o koltuk alınmış mı?"
Onun iyileşme ihtimali var mı?,Onun iyileşme şansı var mı?
Buraya gelmeden önce neredeydin?,Şimdiye kadar neredeydin?
Bugün ne yapalım?,Bugün ne yapıyorsunuz?
"Senin kedin çok sevecen değil, değil mi?","Senin kedin öyle pek de sevecen değil, yanılıyor muyum?"
Tom ne zaman Boston'a varacak?,"Boston'a ne zaman varacaksın, Tom?"
Çay içer misin?,Biraz kahve almak ister misiniz?
Bu arabanın sahibi kim?,O kimin arabası?
"Tom, burada ne yapıyorsun?","Burada ne yapıyorsun, Tom?"
Ne zaman geri dönmesi bekleniliyor?,Ne zaman yolculuğa çıkıyorsun?
O ne zaman gelecek?,Bu ne zaman varacak?
Bu yemek tarifi kitabını ona kim verdi?,O yemek tarifi kitabını sana kim verdi?
Kopya bir cümle nasıl çıkarılabilir?,Biri kopya bir cümleyi nasıl kaldırabilir?
Bir fincan çay isteyen biri var mı?,Bir fincan daha çay ister misin?
Burada mı yiyeceksiniz yoksa götürecek misiniz?,Burada yemek için mi yoksa çıkarmak için mi?
Onlar bir bardak çay ister mi?,Kahve ister misin?
Yarın 2.30'da tekrar buraya geri gelir misin?,Yarın 14.30'da buraya geri gelebilir misin?
Ne zaman geri geliyorsun?,Saat kaçta geliyorsunuz?
"Bunlar senin mi, Tom?","Sen Tom'sun, öyle değil mi?"
Bunu yapmak ister misin?,Bunu yapmak istiyor musun?
Buna ne zaman ihtiyacın var?,Ne kadar kısa sürede ona ihtiyacın var?
Daha ne yapabilirim?,Başka ne yapabilirim?
En sevdiğin hangisiydi?,En sevdiğin hangisi?
Bununla baş edebilecek misin?,Onun hakkında yetenekli misin?
Neden mesajıma cevap vermiyorsun?,Neden mesajımı yanıtlamıyorsun?
Onunla uyudun mu?,Onunla birlikte mi uyuyorsun?
Hoşça kal demeden nasıl kapıdan çıkıp gidebildin?,Veda etmeden nasıl gidebildin?
İyi Kore yemekleri olan herhangi bir restoran biliyor musunuz?,Güzel Kore yemekleri olan bir restoran önerebilir misin?
Neden artık şişede şarap yok? Siz çocuklar onu içtiniz mi?,"Neden şişede hiç şarap kalmamamış? Siz çocuklar, onu içtiniz mi?"
Hayvanat bahçesi nerede bulunuyor?,Hayvanat bahçesi nerede?
Ne zaman eve geleceksin?,Ne zaman geri geliyor olacaksınız?
Tom'un cevabı neydi?,Tom'dan bir cevap aldın mı?
Ne yaptın bana böyle?,Sen bana ne yaptın?
"En, onun çocukları var mı?",Çocukların var mı?
Dün onun gelmesini ne önledi?,O dün neden gelmedi?
O niçin gelmedi?,Neden sen gelmedin?
Ben nereye başlarım?,Ne zaman gideceğiz?
"Bir kahve alabilir miyim, lütfen?",Bir kahve ister misin?
Ne sıklıkta sana söylemek zorundayım?,Sana kaç kez söylemek zorundayım?
Tom ve Mary de aynı şeyi mi yapıyorlar?,Tom ve Mary aynı şeyi mi yiyorlar?
Ne zaman gidelim?,Ne zaman döndün?
Şarkı sözlerini çeviriyor musun?,Şarkıları çeviriyor musun?
"Tom, ne düşünüyorsun?","Öyleyse Tom, sen ne düşünüyorsun?"
Tom bunu nasıl yapabilir?,Tom bunu nasıl yapacak?
Hangi yol tren istasyonu?,İstasyon nerede?
Onu neden yapmak istiyorsun?,O konuda ne istiyorsun?
Hiç Japonya'da bulundunuz mu?,Hiç Japonya'da bulundun mu?
"Şu anda futbol oynuyorum.Ne dersin, Sen ne yapıyorsun?",Şimdi futbol oynuyorum. Ya sen? Ne yapıyorsun?
Nereye gidiyorsun anne?,"Baba, nereye gideceğiz?"
Yarın çalışacak mısın?,Yarın çalışıyor musun?
"Tom gerçekten zeki, değil mi?","Tom gerçekten kurnaz, değil mi?"
Sana biraz çay alabilir miyim?,Biraz kahve almazmısın?
Benimle neden konuşmuyorsun?,Neden benimle konuşmuyorsun?
O ne zaman varır?,Genellikle saat kaçta eve dönersin?
Uyurken boşaldın mı hiç?,Hiç rüyanda boşaldın mı?
Dükkan ne zaman kapanır?,Ne zaman kapanır?
O senin araban mı?,Bu araba size mi ait?
Tom'un sorunu nedir?,Tom kim?
Bir kahve içmeye gidelim mi?,Kahve ya da bir şey içmeye gidelim mi?
Bugün ne yapıyoruz?,Bugünün planı nedir?
Bugünkü konumuz ne?,Bugün günlerden ne?
Komisyonunuz nedir?,Kaç tane alırsın?
Bu caddenin adı nedir?,Bu sokağın adı ne?
Lütfen televizyonu kısar mısın?,Televizyonu kısar mısın?
WiFi şifresini söyler misin?,Bana Wi-Fi şifrenizi söyleyebilir misiniz?
Neden ders çalışmıyorsunuz?,Neden çalışmıyorsunuz?
Ne zaman çıkacaksın?,Nereden başlamalıyım?
Neden onu soruyorsun?,Bunu neden soruyorsun?
Zaten bir yemek yedin mi yoksa yemedin mi?,Sen önceden öğle yemeği yedin mi?
Ne tür kitaplardan hoşlanırsın?,Hangi tür müzikten hoşlanıyorsun?
Karının ismi nedir?,Karınızın adı ne?
Kalemini bana ödünç verir misin?,Kurşun kalemini kullanabilir miyim?
Tom ulaşılabilir mi?,Tom içerde mi?
İmzaladın mı?,Onlar imzaladı mı?
Okul için nereye gidiyorsun?,Hangi okula gidiyorsunuz?
Ne zaman gittin?,Saat kaçta ayrılacaksın?
Ya ailenizden ne haber?,Arkadaşların nasıl?
Biz bunun üzerinde konuşamaz mıyız?,Biz bunun hakkında konuşamadık mı?
Tom nereye giderdi?,Tom nereye gidecekti?
Tom'un nesi vardı?,Tom'un nesi var?
Eve ne zaman geleceksin?,Biz nasıl başlarız?
Çocuklar nerede?,Çocuklarımız nerede?
Tom'un ne yaptığını duydun mu?,Tom'un ne yaptığını duydunuz mu?
Ne zaman ayrılıyorsunuz?,Ne zaman ayrılacaksın?
Bugün ne yapalım?,Bugün ne yapmak isterdin?
Gerçekten Tom'un onu yaptığını gördün mü?,Tom'un onu yaptığını gerçekten gördün mü?
O niçin bu kadar popüler?,Neden bu kadar popülersin?
Bu gitar kime ait?,Bu kimin gitarı?
Hangi kitabı okuyorsunuz?,Hangi kitabı okuyorsun?
Bunu yapabilir miyiz?,Bunu kim yapmış olabilir?
Siz çocuklar onu yapmaya hazır mısınız?,Bunu yapmak üzere misin?
"Merhaba, size nasıl yardımcı olabilirim?",Merhaba. Size nasıl yardım edebilirim?
Güvenlik kim?,Bugün kim görevde?
Onları nerede dövme yaptın?,Onları nerede aşıladın?
Bugün için planınız nedir?,Bugün ne yaptın?
O ne zaman gelecek?,Ne zaman ayrılıyorsunuz?
O Japon mu?,Bir Japon vatandaşı mısınız?
Beni bekleyecek misiniz?,Beni bekler misin?
O ne zaman gelir?,Ne zaman evde olacaksın?
Onun istifa etme olasılığı var mı?,Onun istifa edeceğine dair bir ihtimal var mı?
Bu kelime ne demektir?,Bu kelimenin anlamı nedir?
Tom'a ne olacağını düşünüyorsun?,Sence Tom'a ne olacak?
Favori oyunun hangisidir?,Gözde video oyunun nedir?
Buna bakmak ister misiniz?,Onu görmek istiyor musun?
Buraya ilk defa mı geliyorsunuz?,Yeni misiniz?
Bilgisayarınızı kullanmamın bir sakıncası var mı?,Bilgisayarı kullanabilir miyim?
Favori takımınız hangisidir?,Hangi kulübe üyesin?
Ondan korkuyor musun?,Siz erkek kardeş değil misiniz?
Sen ne aldın?,Elinde ne var?
Ne zaman öğrendin?,Ne zaman haberdar oldun?
Bu listedeki kaç tane sözcüğü bilmiyorsun?,Bu listedeki kelimelerden kaç tanesini bilmiyorsun?
Satrancın nasıl oynanacağını biliyor musun?,Satranç oynar mısın?
Para istiyor musunuz?,İstediğin para bu mu?
Senin gözlerindeki sorun nedir?,Gözlerinin nesi var?
Bana telefon numaranı verebilir misin?,"Telefon numaranızı alabilir miyim, lütfen?"
Zan altında mıyım?,Şüpheli miyim?
Yolcuların hepsi içeride mi?,Yolcuların hepsi gemide mi?
Nerede başlayalım?,Hareket saati nedir?
Oraya hemen gitmeli miyim?,Derhal başlamalı mıyım?
Saat kaçta geliyorsun?,Ne zaman gelirsin?
Seninle nasıl bağlantı kurabilirim?,Ben buna nasıl ulaşacağım?
Hangi rengi beğeniyorsun?,Hangi rengi tercih edersiniz?
Ne zaman geliyorsun?,O ne zaman varır?
Bir yedek anahtarınız var mı?,Bir tane daha boş anahtarın var mı?
Yedin mi ki zaten?,Akşam yemeğini çoktan yedin mi?
Neden onun hakkında soruyorsun?,Neden soruyorsun?
Ne zaman ayrılacağız?,Ne zaman gidiyor olacaksın?
Henüz yatakta değil misin?,Uyandın mı?
Aile nasıl?,Ailen iyi mi?
Neden onu istiyorsun?,Onu neden istiyorsun?
Biraz kahve almak ister misiniz?,Bir bardak çaya ne dersiniz?
Meraklı değil misiniz?,Sen bile meraklı değil misin?
Neden bu kadar sarhoş oluncaya kadar içiyorsun?,Neden sarhoş olana dek içiyorsun?
Bekleyecek misiniz?,Bekleyecek misin?
Bana istasyona giden yolu söyleyebilir misin?,Otobüs nerede duruyor?
Soyadın nasıl yazılıyor?,Soyadınız nasıl yazılır?
"Tom, sen misin?","O, Tom'a mı ait?"
Ne zaman döndün?,Nereden başlıyoruz?
Bunu daha net bir biçimde açıklayabilir misin?,Benim dilimi konuşabiliyor musun?
Onun ne söylemek istediğini anladın mı?,Onun ne demek istediğini anladın mı?
Sen benim hakkımda mı konuşuyorsun?,Beni mi kastediyorsun?
Yeni adamın adı ne?,Yeni çocuğun adı ne?
Oruç musun?,Niyetli misin?
Neden ona inanıyorsunuz?,Neden ona inanıyorsun?
Tamamen mi delirdin?,Sen tamamen delimisin?
Tamam! Hepiniz anlıyor musunuz?,Tamam! Herkes anlıyor mu?
Uyuyor mu?,Hâlâ uyumuyor musun?
Bu ne zaman varacak?,Eve ne zaman döneceksin?
Ne zaman gidiyoruz?,Nerede başlarım?
Saat kaçta kapanıyorsunuz?,Ne zaman kapatıyorsunuz?
Evde kalacak mısın?,O orada mı?
Onlar gerçekten yaşıyor mu?,Onlar gerçekten var mı?
Kamyonu devirdin mi hiç?,Hiç ıslak rüya gördün mü?
Öldü mü?,Sen ölü müsün?
Nereye gitmeliyiz?,Şimdi nereye gidiyoruz?
Size ne demeliyim?,Sana ne diyeyim?
Nereden başlarız?,Ne zaman geri geleceksin?
Şimdi güvende miyiz?,Artık güvende miyiz?
Film ilginç miydi?,Filmle ilgili ne düşünüyorsunuz?
Boston'u ne kadar seviyorsun?,Boston'u ne kadar sevdin?
Kayıp mısın?,Yenildin mi?
Tom niye Boston'a gidiyor?,Tom neden Boston'a gidiyor?
Onu anlamıyor musun?,Anlamıyor musun?
Bunu yapması için Tom'u nasıl ikna ettiniz?,Tom'un onu yapması için kim ikna etti?
Bu civarda bir postane var mıdır?,Bu civarda bir posta ofisi var mı?
New York Londra'ya ne kadar uzaklıktadır?,"New York, Londra'dan ne kadar uzaklıktadır?"
Kim amir?,Müdür kim?
O oğlanları tanıyor musun?,O çocukları tanıyor musun?
Çay içer misin?,Kahve içmek istiyor musun?
Hata nasıl gözlendi?,Hata nasıl gözleniyor?
Bize yardımcı olmayı planlıyor musun?,Bize yardımcı olmayı tasarlıyor musun?
Nerede başlarım?,Ne zaman gidelim?
Alkol alabilir miyim?,Eğer alkol içersem bir sakıncası var mı?
Ne zaman ayrılacağız?,Ne zaman ayrılıyorsun?
Neden üzgün olduğumu düşünüyorsun?,Sence neden üzgünüm?
Hangi rengi tercih edersiniz?,Hangi renklerden hoşlanırsın?
Kaç kere gittin?,Oraya sık sık gider misin?
Saat iki uyar mı?,Saat iki olur mu?
O kişiyi tanıyor musun?,O kişiyi tanıyor musunuz?
Neye cevap veriyorsun?,Neye karşılık veriyorsun?
En sevdiğiniz hangisi?,Senin favorin kim?
Bir haritan var mı?,Bir biletin var mı?
Niçin bir hemşire olmak istiyorsun?,Neden hemşir olmak istiyorsun?
Yorgun musun?,Hâlâ uykulu musunuz?
Kaç tane dili iyi konuşursun?,Kaç dili akıcı bir şekilde konuşabilirsin?
Niçin beni sevmiyorsun?,Neden benden hoşlanmıyor?
Turistlerin bürosunu nerede bulabilirim?,Ziyaretçi merkezini nerede bulabilirim?
Otobüs hangi numaralı kapıdan kalkıyor?,İstasyona nasıl gidebilirim?
Kitapları nerede görüyorsunuz?,Kitapları nerede görüyorsun?
Beni eve bırakabilir misin?,Beni eve götürür müsün?
Başka ne yapmalıyız?,Onun yerine ne yapmalıyız?
Hangi arama motorunu kullanıyorsun?,Hangi arama motorunu kullanıyorsunuz?
Hiç erkek kardeşin veya kız kardeşin var mı?,Hiç erkek kardeşin var mı?
Kaç tane istersiniz?,O kaç tane istiyor?
Masayı temizleyebilir misin lütfen?,Lütfen masayı temizler misin?
Ne zaman gidiyoruz?,Ne zaman geri döndü?
Tom'la nasıl tanıştınız?,Tom'la nasıl tanıştın?
Bu makinenin nasıl çalıştığını açıklayabilir misin?,"Açıklayabilir misin, bu makine nasıl çalışıyor?"
Hareket saati nedir?,Ne zaman gideceğiz?
"Bir sorun mu var, Tom?","Bir sorun var mı, Tom?"
Rüyaları gerçekten ayıramaz mısın?,Hayali gerçekten ayıramıyor musun?
Sen hangi burçtansın?,Hangi burçsun?
Oğlun var mı?,Onun çocukları var mı?
Bugün ne yapmalıyız?,Bugün ne yapmak istiyorsun?
"Ne, çok özeldir?",Bu kadar özel olan ne?
Senin bir ambulans çağırman gerekir mi?,Bir ambulans arayayım mı?
Üzüm kaç para?,Üzüm ne kadar?
"Bir bira daha alabilir miyim, lütfen?",Lütfen bir teneke bira daha alabilir miyim?
Tom'un aç olduğunu mu düşünüyorsun?,Sence Tom aç mı?
Beni yedide uyandırır mısın?,Beni saat yedide uyandırabilir misiniz?
Neden yalan söylerdim?,Neden yalan söylemeliyim?
Sipariş ettin mi?,Seçtin mi?
Otobüs durağı nerede?,İstasyona giden yolu bana söyler misiniz?
Nasıl bu kadar duygusuz olabiliyorsun?,Onun hakkında nasıl bu kadar emin olabilirsin?
Uçakta film var mı?,Uçakta filmler var mı?
Şarap içiyor musun?,İçki içiyor muydun?
Senin bunu yapabileceğine emin misin?,Bunu yapabileceğinden emin misin?
Müziği kısar mısın?,Hepiniz daha az gürültülü olabilir misiniz?
Gerçekten yüzebilir misin?,Gerçekten yüzebilir misiniz?
Hangi şehirdesiniz?,Hangi şehirdesin?
Onlara ne söylerim?,Onlara ne söylemem gerekirdi?
Tom'a ne dersin?,Tom'un sorunu nedir?
Ne zaman geri dönüyorsun?,O ne zaman gelecek?
Bu patika nereye çıkıyor?,Bu patika nereye gidiyor?
Telefon numarasını not ettin mi?,Telefon numarasını not aldın mı?
Bir fincan daha çay içmek ister misiniz?,Bir fincan kahve içer misiniz?
Çin yemeğini sever misin?,Çin mutfağını sever misin?
Sana kim öğretiyor?,Senin öğretmenin kim?
Ebeveynlerin nasıl?,Arkadaşların nasıl?
Onunla orada buluşmadın mı?,Onunla orada tanışmadın mı?
"Bana öyle hitap ederek, ne yaptığını sanıyorsun?",Onun kim olduğunu düşünüyorsun?
Sizin saatinize göre saat kaç?,Saatin kaçı gösteriyor?
Bizim oraya zamanında varabileceğimizi düşünüyor musun?,Sence oraya vaktinde varabilir miyiz?
O ne zaman eve dönecek?,Ne zaman başlar?
Mary' nin hamile olduğunu göremiyor musun?,"Mary hamile, söyleyemiyor musunuz?"
Ne zaman eve gidiyorsun?,O saat kaçta başlar?
Yarın için hazırlıklarını tamamladın mı?,Yarın için hazırlıklar tamam mı?
Eve ne zaman geri döneceksin?,Ne zaman gidiyor olacaksın?
Siz arkadaşlar burada hâlâ ne yapıyorsunuz?,Hâlâ burada ne yapıyorsun?
Biz ne zaman yola çıkarız?,Ne zaman yolculuğa çıkıyorsun?
İstasyona nasıl gideceğimi bana söyler misiniz?,Tren istasyonu nerede?
Bu cep telefonu kimin?,Bu kimin telefonu?
Önceden sipariş verdin mi?,Henüz oy verdin mi?
Pencere kenarı istiyor musun?,Pencere kenarında bir koltuk ister misiniz?
Biraz çay almaz mısın?,Biraz kahve alır mısın?
Niye benden istiyorsunuz?,Neden onu soruyorsun?
Bu şiiri kim yazdı?,Bu şiirleri kim yazdı?
Biraz kahvaltı ister misiniz?,Kahvaltı ister misin?
Kahve içer misiniz?,Bir fincan daha çay ister misin?
Bu dağ bisikletinin fiyatı ne kadar?,O dağ bisikleti kaç para?
Neden onu savunuyorsun?,Neden onu koruyorsun?
O ne zaman gelir?,Ne zaman gideceksin?
Eve ne zaman geleceksin?,Ne zaman gideceğiz?
Tom onu nasıl yapıyor?,Tom bunu nasıl yaptı?
